img_name,segment_id,lat,long
Segment 128.png,128,14.5418269,121.017949
Segment 129.png,129,14.5417435,121.0179896
Segment 130.png,130,14.5574983,121.0130392
Segment 131.png,131,14.5413845,121.0180254
Segment 132.png,132,14.5408235,121.0180142
Segment 133.png,133,14.535858,121.0212075
Segment 134.png,134,14.5565127,121.0132572
Segment 135.png,135,14.5566061,121.0132377
Segment 136.png,136,14.5568668,121.0131885
Segment 137.png,137,14.541685,121.0185441
Segment 138.png,138,14.557048,121.0131507
Segment 139.png,139,14.5571405,121.013131
Segment 140.png,140,14.5573187,121.0130904
Segment 141.png,141,14.5418787,121.0188452
Segment 142.png,142,14.5608448,121.0120611
Segment 143.png,143,14.561439,121.0131702
Segment 144.png,144,14.5616739,121.0130653
Segment 145.png,145,14.5618403,121.012991
Segment 146.png,146,14.561922,121.0129549
Segment 147.png,147,14.5618391,121.0116625
Segment 148.png,148,14.5575379,121.0100806
Segment 149.png,149,14.5616954,121.0113958
Segment 150.png,150,14.5616502,121.0113127
Segment 151.png,151,14.5604503,121.011492
Segment 152.png,152,14.5601314,121.0117066
Segment 153.png,153,14.5602147,121.0116609
Segment 154.png,154,14.5607867,121.0113144
Segment 155.png,155,14.5610354,121.0111888
Segment 156.png,156,14.5613906,121.011048
Segment 157.png,157,14.5618239,121.0109454
Segment 158.png,158,14.5619121,121.010933
Segment 159.png,159,14.5621901,121.0109131
Segment 160.png,160,14.5626668,121.0109508
Segment 161.png,161,14.5627761,121.0109734
Segment 162.png,162,14.562943,121.0110122
Segment 163.png,163,14.5631913,121.0110926
Segment 164.png,164,14.5631063,121.0110615
Segment 165.png,165,14.5632762,121.0111274
Segment 166.png,166,14.5633624,121.0111661
Segment 167.png,167,14.5626661,121.0116263
Segment 168.png,168,14.5636197,121.0112979
Segment 169.png,169,14.5637088,121.0113461
Segment 170.png,170,14.5638204,121.0114038
Segment 171.png,171,14.5639122,121.0114516
Segment 172.png,172,14.5644799,121.0117476
Segment 173.png,173,14.564782,121.0119396
Segment 174.png,174,14.5648647,121.0119824
Segment 175.png,175,14.5649461,121.0120245
Segment 176.png,176,14.5651824,121.0121468
Segment 177.png,177,14.5665342,121.0128208
Segment 178.png,178,14.5673028,121.0132281
Segment 179.png,179,14.5686357,121.0139355
Segment 180.png,180,14.5687172,121.0139778
Segment 181.png,181,14.5692893,121.0142774
Segment 182.png,182,14.570446,121.0148919
Segment 183.png,183,14.5706931,121.0150195
Segment 184.png,184,14.57093,121.0151995
Segment 185.png,185,14.5676148,121.0129861
Segment 186.png,186,14.5659183,121.0126216
Segment 187.png,187,14.5659538,121.0125146
Segment 188.png,188,14.5652531,121.0133935
Segment 189.png,189,14.565195,121.0134641
Segment 190.png,190,14.5650853,121.013615
Segment 191.png,191,14.5649789,121.0137591
Segment 192.png,192,14.5643722,121.014709
Segment 193.png,193,14.5639973,121.0156094
Segment 194.png,194,14.5643105,121.0123405
Segment 195.png,195,14.5637272,121.0122468
Segment 196.png,196,14.5627942,121.011985
Segment 197.png,197,14.5628257,121.0120743
Segment 198.png,198,14.5628559,121.0121645
Segment 199.png,199,14.5629855,121.0125166
Segment 200.png,200,14.5631443,121.0129568
Segment 201.png,201,14.5561546,121.0133337
Segment 202.png,202,14.556693,121.0132199
Segment 203.png,203,14.5577376,121.0129284
Segment 204.png,204,14.5578145,121.0128883
Segment 205.png,205,14.5611309,121.019825
Segment 206.png,206,14.5591609,121.0117522
Segment 207.png,207,14.5589092,121.0112496
Segment 208.png,208,14.5583737,121.0128387
Segment 209.png,209,14.5584356,121.0131213
Segment 210.png,210,14.5585051,121.0134826
