segment_id,img_name,lat,long,surface_crack,major_damage,obstruction,narrowed_pathway,total_hazards,damage,risk_index
84,Segment 84.png,14.545445,121.0159978,0,0,0,0,0,no damage,0
85,Segment 85.png,14.5453643,121.0160428,0,0,0,0,0,no damage,0
86,Segment 86.png,14.5452832,121.0160867,0,0,0,0,0,no damage,0
87,Segment 87.png,14.5452018,121.0161304,0,0,0,0,0,no damage,0
88,Segment 88.png,14.5451203,121.0161739,0,0,0,0,0,no damage,0
89,Segment 89.png,14.5450384,121.0162175,0,0,0,0,0,no damage,0
90,Segment 90.png,14.5449571,121.0162612,0,0,0,0,0,no damage,0
91,Segment 91.png,14.5448745,121.0163053,0,0,0,0,0,no damage,0
92,Segment 92.png,14.544793,121.0163494,0,0,0,0,0,no damage,0
93,Segment 93.png,14.5447097,121.0163944,0,0,0,0,0,no damage,0
94,Segment 94.png,14.5446268,121.0164392,0,0,0,0,0,no damage,0
95,Segment 95.png,14.5445445,121.0164826,0,0,0,0,0,no damage,0
96,Segment 96.png,14.5444627,121.0165257,2,0,0,0,2,damage,2
97,Segment 97.png,14.5443815,121.0165694,0,0,0,0,0,no damage,0
98,Segment 98.png,14.5442992,121.0166124,1,0,0,0,1,damage,1
99,Segment 99.png,14.5442206,121.0166577,0,1,0,1,2,damage,5
100,Segment 100.png,14.5441397,121.0167024,0,0,1,0,1,damage,3
101,Segment 101.png,14.5440588,121.0167466,6,0,0,0,6,damage,6
102,Segment 102.png,14.5439778,121.0167906,6,0,0,1,7,damage,8
103,Segment 103.png,14.5438961,121.0168344,0,0,0,2,2,damage,4
104,Segment 104.png,14.5438154,121.0168773,1,0,0,0,1,damage,1
105,Segment 105.png,14.5437347,121.0169203,3,0,0,0,3,damage,3
106,Segment 106.png,14.543653,121.0169635,0,0,0,2,2,damage,4
107,Segment 107.png,14.5434887,121.0170506,0,0,0,1,1,damage,2
108,Segment 108.png,14.5434073,121.0170955,0,0,0,6,6,damage,12
109,Segment 109.png,14.5433267,121.017141,0,0,0,0,0,no damage,0
110,Segment 110.png,14.5432863,121.0171634,0,0,0,1,1,damage,2
111,Segment 111.png,14.5432055,121.0172074,1,0,0,2,3,damage,5
112,Segment 112.png,14.5431252,121.0172499,0,0,11,0,11,damage,33
113,Segment 113.png,14.5430456,121.0172918,3,0,0,0,3,damage,3
114,Segment 114.png,14.5429652,121.0173339,0,0,0,0,0,no damage,0
115,Segment 115.png,14.5428848,121.017377,0,0,0,0,0,no damage,0
116,Segment 116.png,14.542803,121.0174199,0,0,0,1,1,damage,2
117,Segment 117.png,14.542722,121.017463,0,0,0,0,0,no damage,0
118,Segment 118.png,14.5426404,121.0175054,0,0,0,0,0,no damage,0
119,Segment 119.png,14.5425587,121.0175473,2,0,4,0,6,damage,14
120,Segment 120.png,14.5424787,121.0175894,0,0,0,0,0,no damage,0
121,Segment 121.png,14.5424016,121.0176313,0,0,0,0,0,no damage,0
122,Segment 122.png,14.5423206,121.0176761,0,0,2,1,3,damage,8
123,Segment 123.png,14.5422396,121.017723,0,0,0,0,0,no damage,0
124,Segment 124.png,14.5421589,121.0177713,0,0,0,0,0,no damage,0
125,Segment 125.png,14.5420803,121.0178206,0,0,1,0,1,damage,3
126,Segment 126.png,14.5419983,121.0178659,0,0,0,1,1,damage,2
127,Segment 127.png,14.5419121,121.0179082,0,0,0,0,0,no damage,0
128,Segment 128.png,14.5418269,121.017949,0,0,0,0,0,no damage,0
129,Segment 129.png,14.5417435,121.0179896,0,0,0,0,0,no damage,0
130,Segment 130.png,14.5574983,121.0130392,0,0,0,0,0,no damage,0
131,Segment 131.png,14.5413845,121.0180254,2,1,1,0,4,damage,8
132,Segment 132.png,14.5408235,121.0180142,2,0,0,0,2,damage,2
133,Segment 133.png,14.535858,121.0212075,2,0,2,0,4,damage,8
134,Segment 134.png,14.5565127,121.0132572,3,0,0,1,4,damage,5
135,Segment 135.png,14.5566061,121.0132377,2,0,0,0,2,damage,2
136,Segment 136.png,14.5568668,121.0131885,3,0,0,0,3,damage,3
137,Segment 137.png,14.541685,121.0185441,1,0,2,0,3,damage,7
138,Segment 138.png,14.557048,121.0131507,1,0,1,0,2,damage,4
139,Segment 139.png,14.5571405,121.013131,1,0,0,0,1,damage,1
140,Segment 140.png,14.5573187,121.0130904,2,0,0,0,2,damage,2
141,Segment 141.png,14.5418787,121.0188452,0,0,0,0,0,no damage,0
142,Segment 142.png,14.5608448,121.0120611,1,0,1,0,2,damage,4
143,Segment 143.png,14.561439,121.0131702,0,0,0,6,6,damage,12
144,Segment 144.png,14.5616739,121.0130653,0,0,2,1,3,damage,8
145,Segment 145.png,14.5618403,121.012991,0,1,1,0,2,damage,6
146,Segment 146.png,14.561922,121.0129549,0,0,0,6,6,damage,12
147,Segment 147.png,14.5618391,121.0116625,0,1,7,0,8,damage,24
148,Segment 148.png,14.5575379,121.0100806,2,0,0,1,3,damage,4
149,Segment 149.png,14.5616954,121.0113958,2,0,0,0,2,damage,2
150,Segment 150.png,14.5616502,121.0113127,1,0,0,0,1,damage,1
151,Segment 151.png,14.5604503,121.011492,0,0,4,0,4,damage,12
152,Segment 152.png,14.5601314,121.0117066,0,0,0,2,2,damage,4
153,Segment 153.png,14.5602147,121.0116609,1,1,1,1,4,damage,9
154,Segment 154.png,14.5607867,121.0113144,0,0,4,0,4,damage,12
155,Segment 155.png,14.5610354,121.0111888,0,0,5,0,5,damage,15
156,Segment 156.png,14.5613906,121.011048,2,0,2,0,4,damage,8
157,Segment 157.png,14.5618239,121.0109454,0,0,1,1,2,damage,5
158,Segment 158.png,14.5619121,121.010933,0,0,7,0,7,damage,21
159,Segment 159.png,14.5621901,121.0109131,0,0,1,0,1,damage,3
160,Segment 160.png,14.5626668,121.0109508,0,1,3,0,4,damage,12
161,Segment 161.png,14.5627761,121.0109734,0,1,13,0,14,damage,42
162,Segment 162.png,14.562943,121.0110122,0,0,3,1,4,damage,11
163,Segment 163.png,14.5631913,121.0110926,0,4,3,0,7,damage,21
164,Segment 164.png,14.5631063,121.0110615,0,1,2,0,3,damage,9
165,Segment 165.png,14.5632762,121.0111274,0,1,1,0,2,damage,6
166,Segment 166.png,14.5633624,121.0111661,1,1,1,0,3,damage,7
167,Segment 167.png,14.5626661,121.0116263,1,0,2,0,3,damage,7
168,Segment 168.png,14.5636197,121.0112979,0,1,7,0,8,damage,24
169,Segment 169.png,14.5637088,121.0113461,1,2,3,0,6,damage,16
170,Segment 170.png,14.5638204,121.0114038,1,0,2,2,5,damage,11
171,Segment 171.png,14.5639122,121.0114516,0,1,3,0,4,damage,12
172,Segment 172.png,14.5644799,121.0117476,0,1,1,2,4,damage,10
173,Segment 173.png,14.564782,121.0119396,0,1,1,1,3,damage,8
174,Segment 174.png,14.5648647,121.0119824,0,0,6,0,6,damage,18
175,Segment 175.png,14.5649461,121.0120245,0,2,2,2,6,damage,16
176,Segment 176.png,14.5651824,121.0121468,0,0,0,0,0,no damage,0
177,Segment 177.png,14.5665342,121.0128208,0,2,8,1,11,damage,32
178,Segment 178.png,14.5673028,121.0132281,0,5,7,0,12,damage,36
179,Segment 179.png,14.5686357,121.0139355,0,0,1,1,2,damage,5
180,Segment 180.png,14.5687172,121.0139778,0,1,2,0,3,damage,9
181,Segment 181.png,14.5692893,121.0142774,0,0,3,0,3,damage,9
182,Segment 182.png,14.570446,121.0148919,0,2,5,0,7,damage,21
183,Segment 183.png,14.5706931,121.0150195,1,2,5,2,10,damage,26
184,Segment 184.png,14.57093,121.0151995,0,2,6,1,9,damage,26
185,Segment 185.png,14.5676148,121.0129861,0,2,4,0,6,damage,18
186,Segment 186.png,14.5659183,121.0126216,1,0,2,3,6,damage,13
187,Segment 187.png,14.5659538,121.0125146,0,0,2,0,2,damage,6
188,Segment 188.png,14.5652531,121.0133935,1,0,1,0,2,damage,4
189,Segment 189.png,14.565195,121.0134641,2,0,0,1,3,damage,4
190,Segment 190.png,14.5650853,121.013615,2,0,0,0,2,damage,2
191,Segment 191.png,14.5649789,121.0137591,0,0,0,2,2,damage,4
192,Segment 192.png,14.5643722,121.014709,0,0,5,2,7,damage,19
193,Segment 193.png,14.5639973,121.0156094,0,0,5,1,6,damage,17
194,Segment 194.png,14.5643105,121.0123405,1,0,0,3,4,damage,7
195,Segment 195.png,14.5637272,121.0122468,1,0,0,0,1,damage,1
196,Segment 196.png,14.5627942,121.011985,0,0,1,1,2,damage,5
197,Segment 197.png,14.5628257,121.0120743,0,1,1,0,2,damage,6
198,Segment 198.png,14.5628559,121.0121645,0,0,0,0,0,no damage,0
199,Segment 199.png,14.5629855,121.0125166,2,0,0,4,6,damage,10
200,Segment 200.png,14.5631443,121.0129568,0,0,0,1,1,damage,2
201,Segment 201.png,14.5561546,121.0133337,0,0,0,0,0,no damage,0
202,Segment 202.png,14.556693,121.0132199,0,0,0,0,0,no damage,0
203,Segment 203.png,14.5577376,121.0129284,0,0,0,0,0,no damage,0
204,Segment 204.png,14.5578145,121.0128883,0,0,0,0,0,no damage,0
205,Segment 205.png,14.5611309,121.019825,0,0,0,0,0,no damage,0
206,Segment 206.png,14.5591609,121.0117522,0,0,0,0,0,no damage,0
207,Segment 207.png,14.5589092,121.0112496,0,0,0,0,0,no damage,0
208,Segment 208.png,14.5583737,121.0128387,0,0,0,0,0,no damage,0
209,Segment 209.png,14.5584356,121.0131213,0,0,0,0,0,no damage,0
210,Segment 210.png,14.5585051,121.0134826,0,0,0,0,0,no damage,0
211,Segment 211.png,14.5585869,121.0139888,0,0,0,0,0,no damage,0
212,Segment 212.png,14.5570365,121.0144248,0,0,0,0,0,no damage,0
213,Segment 213.png,14.5569453,121.0144424,0,0,0,0,0,no damage,0
214,Segment 214.png,14.5548943,121.0148512,0,0,0,0,0,no damage,0
215,Segment 215.png,14.5620925,121.0121712,0,0,0,0,0,no damage,0
216,Segment 216.png,14.5597809,121.0099964,0,0,0,0,0,no damage,0
217,Segment 217.png,14.5600052,121.0104141,0,0,0,0,0,no damage,0
218,Segment 218.png,14.5602189,121.0108335,0,0,0,0,0,no damage,0
219,Segment 219.png,14.5602621,121.0109163,0,0,0,0,0,no damage,0
220,Segment 220.png,14.5603051,121.0110003,0,0,0,0,0,no damage,0
221,Segment 221.png,14.5603482,121.0110843,0,0,0,0,0,no damage,0
222,Segment 222.png,14.560422,121.0112502,0,0,0,0,0,no damage,0
223,Segment 223.png,14.5659493,121.0144073,0,0,0,0,0,no damage,0
224,Segment 224.png,14.5661156,121.0144937,0,0,0,0,0,no damage,0
225,Segment 225.png,14.5642557,121.0162815,0,0,0,0,0,no damage,0
226,Segment 226.png,14.5641507,121.0162329,0,0,0,0,0,no damage,0
227,Segment 227.png,14.5640673,121.0162071,0,0,0,0,0,no damage,0
228,Segment 228.png,14.5639795,121.0161767,0,0,0,0,0,no damage,0
229,Segment 229.png,14.5628662,121.015727,0,0,0,0,0,no damage,0
230,Segment 230.png,14.5627783,121.0156943,0,0,0,0,0,no damage,0
231,Segment 231.png,14.5627213,121.0156549,0,0,0,0,0,no damage,0
232,Segment 232.png,14.5626523,121.0156451,0,0,0,0,0,no damage,0
233,Segment 233.png,14.5624795,121.0155801,0,0,0,0,0,no damage,0
234,Segment 234.png,14.5621846,121.0156989,0,0,0,0,0,no damage,0
235,Segment 235.png,14.5615333,121.0200036,0,0,0,0,0,no damage,0
236,Segment 236.png,14.5612252,121.0202706,0,0,0,0,0,no damage,0
237,Segment 237.png,14.5611056,121.0195359,0,0,0,0,0,no damage,0
238,Segment 238.png,14.5610737,121.0192539,0,0,0,0,0,no damage,0
239,Segment 239.png,14.5610526,121.0190426,0,0,0,0,0,no damage,0
240,Segment 240.png,14.561062,121.0186182,0,0,0,0,0,no damage,0
