segment_id,img_name,lat,long,surface_crack,major_damage,obstruction,narrowed_pathway,total_hazards,damage,risk_index,GiZ,GiP,hotspot
54,Segment 54.png,14.5479216,121.0146344,0,0,0,0,0,no damage,0,-0.4762714652745928,0.001,Not significant
55,Segment 55.png,14.5478369,121.0146721,2,0,0,0,2,damage,2,-0.5474288269383699,0.001,Not significant
56,Segment 56.png,14.5477514,121.0147131,0,0,0,0,0,no damage,0,-0.4762714652745928,0.001,Not significant
57,Segment 57.png,14.5476716,121.0147671,0,0,0,0,0,no damage,0,-0.4762714652745928,0.001,Not significant
58,Segment 58.png,14.5475966,121.014829,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
59,Segment 59.png,14.5475219,121.0148867,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
60,Segment 60.png,14.5474501,121.0149434,0,0,0,0,0,no damage,0,-0.4399508270484831,0.001,Not significant
61,Segment 61.png,14.5473457,121.0150075,0,0,0,0,0,no damage,0,-0.4399508270484831,0.001,Not significant
62,Segment 62.png,14.5472523,121.0150299,3,0,0,0,3,damage,3,-0.5104612991820255,0.001,Not significant
63,Segment 63.png,14.5471546,121.0150777,0,0,0,0,0,no damage,0,-0.4036301888223735,0.001,Not significant
64,Segment 64.png,14.5470632,121.0151243,1,0,0,0,1,damage,1,-0.4392158904730829,0.001,Not significant
65,Segment 65.png,14.546973,121.0151708,0,0,0,0,0,no damage,0,-0.5125921035007024,0.001,Not significant
66,Segment 66.png,14.5468878,121.0152161,0,0,0,0,0,no damage,0,-0.5125921035007024,0.001,Not significant
67,Segment 67.png,14.5468074,121.0152595,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
68,Segment 68.png,14.5467278,121.0153033,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
69,Segment 69.png,14.546648,121.0153469,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
70,Segment 70.png,14.546569,121.0153901,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
71,Segment 71.png,14.5464908,121.0154325,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
72,Segment 72.png,14.5464117,121.0154743,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
73,Segment 73.png,14.5463326,121.015516,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
74,Segment 74.png,14.5462535,121.0155578,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
75,Segment 75.png,14.5461727,121.0156015,0,0,0,0,0,no damage,0,-0.5125921035007024,0.001,Not significant
76,Segment 76.png,14.5460922,121.0156452,0,0,0,0,0,no damage,0,-0.5125921035007024,0.001,Not significant
77,Segment 77.png,14.5460109,121.0156865,1,0,0,0,1,damage,1,-0.548146292918327,0.001,Not significant
78,Segment 78.png,14.545931,121.0157303,0,0,0,0,0,no damage,0,-0.5125921035007024,0.001,Not significant
79,Segment 79.png,14.5458506,121.0157744,0,0,0,0,0,no damage,0,-0.5125921035007024,0.001,Not significant
80,Segment 80.png,14.545769,121.0158184,0,0,0,0,0,no damage,0,-0.11306508301349613,0.001,Not significant
81,Segment 81.png,14.5456864,121.0158626,0,0,0,0,0,no damage,0,-0.11306508301349613,0.001,Not significant
82,Segment 82.png,14.5456044,121.0159071,0,2,2,0,4,damage,12,-0.5429125188889051,0.001,Not significant
83,Segment 83.png,14.5455251,121.015953,0,0,0,0,0,no damage,0,-0.11306508301349613,0.001,Not significant
84,Segment 84.png,14.545445,121.0159978,0,0,0,0,0,no damage,0,-0.11306508301349613,0.001,Not significant
85,Segment 85.png,14.5453643,121.0160428,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
86,Segment 86.png,14.5452832,121.0160867,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
87,Segment 87.png,14.5452018,121.0161304,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
88,Segment 88.png,14.5451203,121.0161739,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
89,Segment 89.png,14.5450384,121.0162175,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
90,Segment 90.png,14.5449571,121.0162612,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
91,Segment 91.png,14.5448745,121.0163053,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
92,Segment 92.png,14.544793,121.0163494,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
93,Segment 93.png,14.5447097,121.0163944,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
94,Segment 94.png,14.5446268,121.0164392,0,0,0,0,0,no damage,0,-0.4762714652745928,0.001,Not significant
95,Segment 95.png,14.5445445,121.0164826,0,0,0,0,0,no damage,0,-0.4762714652745928,0.001,Not significant
96,Segment 96.png,14.5444627,121.0165257,2,0,0,0,2,damage,2,-0.5111259718778066,0.001,Not significant
97,Segment 97.png,14.5443815,121.0165694,0,0,0,0,0,no damage,0,-0.2583476359179348,0.001,Not significant
98,Segment 98.png,14.5442992,121.0166124,1,0,0,0,1,damage,1,-0.18504495143418018,0.001,Not significant
99,Segment 99.png,14.5442206,121.0166577,0,1,0,1,2,damage,5,-0.182564801772701,0.001,Not significant
100,Segment 100.png,14.5441397,121.0167024,0,0,1,0,1,damage,3,0.17921580869824172,0.001,Not significant
101,Segment 101.png,14.5440588,121.0167466,6,0,0,0,6,damage,6,0.1810738319682159,0.001,Not significant
102,Segment 102.png,14.5439778,121.0167906,6,0,0,1,7,damage,8,-0.03556678569213415,0.001,Not significant
103,Segment 103.png,14.5438961,121.0168344,0,0,0,2,2,damage,4,0.10722323654935828,0.001,Not significant
104,Segment 104.png,14.5438154,121.0168773,1,0,0,0,1,damage,1,0.14174625590155193,0.001,Not significant
105,Segment 105.png,14.5437347,121.0169203,3,0,0,0,3,damage,3,0.07031942324346266,0.001,Not significant
106,Segment 106.png,14.543653,121.0169635,0,0,0,2,2,damage,4,-0.18316037291575918,0.001,Not significant
107,Segment 107.png,14.5434887,121.0170506,0,0,0,1,1,damage,2,0.10602256415177097,0.001,Not significant
108,Segment 108.png,14.5434073,121.0170955,0,0,0,6,6,damage,12,-0.21524561986252042,0.001,Not significant
109,Segment 109.png,14.5433267,121.017141,0,0,0,0,0,no damage,0,0.2138206610214908,0.001,Not significant
110,Segment 110.png,14.5432863,121.0171634,0,0,0,1,1,damage,2,1.267713926089799,0.001,Not significant
111,Segment 111.png,14.5432055,121.0172074,1,0,0,2,3,damage,5,0.8338442277305564,0.001,Not significant
112,Segment 112.png,14.5431252,121.0172499,0,0,11,0,11,damage,33,-0.17218943810065138,0.001,Not significant
113,Segment 113.png,14.5430456,121.0172918,3,0,0,0,3,damage,3,0.8325941214269159,0.001,Not significant
114,Segment 114.png,14.5429652,121.0173339,0,0,0,0,0,no damage,0,0.8312715108653551,0.001,Not significant
115,Segment 115.png,14.5428848,121.017377,0,0,0,0,0,no damage,0,-0.3673095505962638,0.001,Not significant
116,Segment 116.png,14.542803,121.0174199,0,0,0,1,1,damage,2,-0.5474288269383699,0.001,Not significant
117,Segment 117.png,14.542722,121.017463,0,0,0,0,0,no damage,0,0.032217469890942485,0.001,Not significant
118,Segment 118.png,14.5426404,121.0175054,0,0,0,0,0,no damage,0,0.032217469890942485,0.001,Not significant
119,Segment 119.png,14.5425587,121.0175473,2,0,4,0,6,damage,14,-0.5425878403882247,0.001,Not significant
120,Segment 120.png,14.5424787,121.0175894,0,0,0,0,0,no damage,0,0.25014129924760053,0.001,Not significant
121,Segment 121.png,14.5424016,121.0176313,0,0,0,0,0,no damage,0,0.25014129924760053,0.001,Not significant
122,Segment 122.png,14.5423206,121.0176761,0,0,2,1,3,damage,8,-0.5441414221275236,0.001,Not significant
123,Segment 123.png,14.5422396,121.017723,0,0,0,0,0,no damage,0,-0.14938572123960578,0.001,Not significant
124,Segment 124.png,14.5421589,121.0177713,0,0,0,0,0,no damage,0,-0.07674444478738648,0.001,Not significant
125,Segment 125.png,14.5420803,121.0178206,0,0,1,0,1,damage,3,-0.4741625040304325,0.001,Not significant
126,Segment 126.png,14.5419983,121.0178659,0,0,0,1,1,damage,2,-0.43852026175667974,0.001,Not significant
127,Segment 127.png,14.5419121,121.0179082,0,0,0,0,0,no damage,0,-0.3673095505962638,0.001,Not significant
128,Segment 128.png,14.5418269,121.017949,0,0,0,0,0,no damage,0,-0.3673095505962638,0.001,Not significant
129,Segment 129.png,14.5417435,121.0179896,0,0,0,0,0,no damage,0,-0.18570635946571545,0.001,Not significant
130,Segment 130.png,14.5574983,121.0130392,0,0,0,0,0,no damage,0,-0.4399508270484831,0.001,Not significant
131,Segment 131.png,14.5413845,121.0180254,2,1,1,0,4,damage,8,-0.4714879026367537,0.001,Not significant
132,Segment 132.png,14.5408235,121.0180142,2,0,0,0,2,damage,2,-0.0028860010299191713,0.001,Not significant
133,Segment 133.png,14.535858,121.0212075,2,0,2,0,4,damage,8,0.07341349354402073,0.001,Not significant
134,Segment 134.png,14.5565127,121.0132572,3,0,0,1,4,damage,5,-0.364066414183997,0.001,Not significant
135,Segment 135.png,14.5566061,121.0132377,2,0,0,0,2,damage,2,-0.11179456621160938,0.001,Not significant
136,Segment 136.png,14.5568668,121.0131885,3,0,0,0,3,damage,3,-0.2926685282724675,0.001,Not significant
137,Segment 137.png,14.541685,121.0185441,1,0,2,0,3,damage,7,-0.25405110266751896,0.001,Not significant
138,Segment 138.png,14.557048,121.0131507,1,0,1,0,2,damage,4,-0.3283521776483179,0.001,Not significant
139,Segment 139.png,14.5571405,121.013131,1,0,0,0,1,damage,1,-0.2213550855825949,0.001,Not significant
140,Segment 140.png,14.5573187,121.0130904,2,0,0,0,2,damage,2,-0.36591455163555303,0.001,Not significant
141,Segment 141.png,14.5418787,121.0188452,0,0,0,0,0,no damage,0,-0.29466827414404445,0.001,Not significant
142,Segment 142.png,14.5608448,121.0120611,1,0,1,0,2,damage,4,0.7968843090290123,0.001,Not significant
143,Segment 143.png,14.561439,121.0131702,0,0,0,6,6,damage,12,0.40368074496509504,0.001,Not significant
144,Segment 144.png,14.5616739,121.0130653,0,0,2,1,3,damage,8,0.5456613702340252,0.001,Not significant
145,Segment 145.png,14.5618403,121.012991,0,1,1,0,2,damage,6,0.6167447632474465,0.001,Not significant
146,Segment 146.png,14.561922,121.0129549,0,0,0,6,6,damage,12,0.40368074496509504,0.001,Not significant
147,Segment 147.png,14.5618391,121.0116625,0,1,7,0,8,damage,24,-0.24814812549761214,0.001,Not significant
148,Segment 148.png,14.5575379,121.0100806,2,0,0,1,3,damage,4,-0.546139884747156,0.001,Not significant
149,Segment 149.png,14.5616954,121.0113958,2,0,0,0,2,damage,2,0.8320796653630386,0.001,Not significant
150,Segment 150.png,14.5616502,121.0113127,1,0,0,0,1,damage,1,0.8679489388698454,0.001,Not significant
151,Segment 151.png,14.5604503,121.011492,0,0,4,0,4,damage,12,0.36727331173994127,0.001,Not significant
152,Segment 152.png,14.5601314,121.0117066,0,0,0,2,2,damage,4,0.21611709009877736,0.001,Not significant
153,Segment 153.png,14.5602147,121.0116609,1,1,1,1,4,damage,9,0.037710565341986746,0.001,Not significant
154,Segment 154.png,14.5607867,121.0113144,0,0,4,0,4,damage,12,0.440088178190249,0.001,Not significant
155,Segment 155.png,14.5610354,121.0111888,0,0,5,0,5,damage,15,0.22405555837864277,0.001,Not significant
156,Segment 156.png,14.5613906,121.011048,2,0,2,0,4,damage,8,0.2913740520163305,0.001,Not significant
157,Segment 157.png,14.5618239,121.0109454,0,0,1,1,2,damage,5,0.6523426153192605,0.001,Not significant
158,Segment 158.png,14.5619121,121.010933,0,0,7,0,7,damage,21,-0.1383675193096092,0.001,Not significant
159,Segment 159.png,14.5621901,121.0109131,0,0,1,0,1,damage,3,2.3571435177938223,0.001,Hotspot
160,Segment 160.png,14.5626668,121.0109508,0,1,3,0,4,damage,12,1.8235706407460952,0.001,Not significant
161,Segment 161.png,14.5627761,121.0109734,0,1,13,0,14,damage,42,1.5013136901180633,0.001,Not significant
162,Segment 162.png,14.562943,121.0110122,0,0,3,1,4,damage,11,2.512970518372915,0.001,Hotspot
163,Segment 163.png,14.5631913,121.0110926,0,4,3,0,7,damage,21,0.6709054690440343,0.001,Not significant
164,Segment 164.png,14.5631063,121.0110615,0,1,2,0,3,damage,9,1.0916296314117846,0.001,Not significant
165,Segment 165.png,14.5632762,121.0111274,0,1,1,0,2,damage,6,1.1976393382864208,0.001,Not significant
166,Segment 166.png,14.5633624,121.0111661,1,1,1,0,3,damage,7,1.634314390126695,0.001,Not significant
167,Segment 167.png,14.5626661,121.0116263,1,0,2,0,3,damage,7,1.3801113430197816,0.001,Not significant
168,Segment 168.png,14.5636197,121.0112979,0,1,7,0,8,damage,24,1.1568900763535808,0.001,Not significant
169,Segment 169.png,14.5637088,121.0113461,1,2,3,0,6,damage,16,1.4307565306513532,0.001,Not significant
170,Segment 170.png,14.5638204,121.0114038,1,0,2,2,5,damage,11,1.6034115865048408,0.001,Not significant
171,Segment 171.png,14.5639122,121.0114516,0,1,3,0,4,damage,12,1.5687186081700182,0.001,Not significant
172,Segment 172.png,14.5644799,121.0117476,0,1,1,2,4,damage,10,1.238236957753916,0.001,Not significant
173,Segment 173.png,14.564782,121.0119396,0,1,1,1,3,damage,8,1.0542360066694147,0.001,Not significant
174,Segment 174.png,14.5648647,121.0119824,0,0,6,0,6,damage,18,0.7028316255805022,0.001,Not significant
175,Segment 175.png,14.5649461,121.0120245,0,2,2,2,6,damage,16,0.7730182751627742,0.001,Not significant
176,Segment 176.png,14.5651824,121.0121468,0,0,0,0,0,no damage,0,1.3397604460308905,0.001,Not significant
177,Segment 177.png,14.5665342,121.0128208,0,2,8,1,11,damage,32,2.1997131380227897,0.001,Hotspot
178,Segment 178.png,14.5673028,121.0132281,0,5,7,0,12,damage,36,2.037599095307109,0.001,Hotspot
179,Segment 179.png,14.5686357,121.0139355,0,0,1,1,2,damage,5,2.0680551921273693,0.001,Hotspot
180,Segment 180.png,14.5687172,121.0139778,0,1,2,0,3,damage,9,1.9274964769154175,0.001,Not significant
181,Segment 181.png,14.5692893,121.0142774,0,0,3,0,3,damage,9,1.673102219588225,0.001,Not significant
182,Segment 182.png,14.570446,121.0148919,0,2,5,0,7,damage,21,2.031955494911525,0.001,Hotspot
183,Segment 183.png,14.5706931,121.0150195,1,2,5,2,10,damage,26,1.8679530651475411,0.001,Not significant
184,Segment 184.png,14.57093,121.0151995,0,2,6,1,9,damage,26,1.8679530651475411,0.001,Not significant
185,Segment 185.png,14.5676148,121.0129861,0,2,4,0,6,damage,18,2.460983480935827,0.001,Hotspot
186,Segment 186.png,14.5659183,121.0126216,1,0,2,3,6,damage,13,0.9875782132991818,0.001,Not significant
187,Segment 187.png,14.5659538,121.0125146,0,0,2,0,2,damage,6,1.6696161805055871,0.001,Not significant
188,Segment 188.png,14.5652531,121.0133935,1,0,1,0,2,damage,4,0.2887129924650567,0.001,Not significant
189,Segment 189.png,14.565195,121.0134641,2,0,0,1,3,damage,4,0.2887129924650567,0.001,Not significant
190,Segment 190.png,14.5650853,121.013615,2,0,0,0,2,damage,2,-0.11179456621160938,0.001,Not significant
191,Segment 191.png,14.5649789,121.0137591,0,0,0,2,2,damage,4,0.5065006995638948,0.001,Not significant
192,Segment 192.png,14.5643722,121.014709,0,0,5,2,7,damage,19,0.4476429054876703,0.001,Not significant
193,Segment 193.png,14.5639973,121.0156094,0,0,5,1,6,damage,17,-0.5424672579510789,0.001,Not significant
194,Segment 194.png,14.5643105,121.0123405,1,0,0,3,4,damage,7,0.7990758067754081,0.001,Not significant
195,Segment 195.png,14.5637272,121.0122468,1,0,0,0,1,damage,1,0.9042590730182603,0.001,Not significant
196,Segment 196.png,14.5627942,121.011985,0,0,1,1,2,damage,5,0.2893393904966685,0.001,Not significant
197,Segment 197.png,14.5628257,121.0120743,0,1,1,0,2,damage,6,0.2536856538480876,0.001,Not significant
198,Segment 198.png,14.5628559,121.0121645,0,0,0,0,0,no damage,0,0.4680651286042585,0.001,Not significant
199,Segment 199.png,14.5629855,121.0125166,2,0,0,4,6,damage,10,-0.07074335733573787,0.001,Not significant
200,Segment 200.png,14.5631443,121.0129568,0,0,0,1,1,damage,2,0.06971970909120752,0.001,Not significant
201,Segment 201.png,14.5561546,121.0133337,0,0,0,0,0,no damage,0,-0.18570635946571545,0.001,Not significant
202,Segment 202.png,14.556693,121.0132199,0,0,0,0,0,no damage,0,-0.04042380656127682,0.001,Not significant
203,Segment 203.png,14.5577376,121.0129284,0,0,0,0,0,no damage,0,-0.4399508270484831,0.001,Not significant
204,Segment 204.png,14.5578145,121.0128883,0,0,0,0,0,no damage,0,-0.4762714652745928,0.001,Not significant
205,Segment 205.png,14.5611309,121.019825,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
206,Segment 206.png,14.5591609,121.0117522,0,0,0,0,0,no damage,0,0.3591032139259294,0.001,Not significant
207,Segment 207.png,14.5589092,121.0112496,0,0,0,0,0,no damage,0,-0.07674444478738648,0.001,Not significant
208,Segment 208.png,14.5583737,121.0128387,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
209,Segment 209.png,14.5584356,121.0131213,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
210,Segment 210.png,14.5585051,121.0134826,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
211,Segment 211.png,14.5585869,121.0139888,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
212,Segment 212.png,14.5570365,121.0144248,0,0,0,0,0,no damage,0,-0.3673095505962638,0.001,Not significant
213,Segment 213.png,14.5569453,121.0144424,0,0,0,0,0,no damage,0,-0.3673095505962638,0.001,Not significant
214,Segment 214.png,14.5548943,121.0148512,0,0,0,0,0,no damage,0,-0.3673095505962638,0.001,Not significant
215,Segment 215.png,14.5620925,121.0121712,0,0,0,0,0,no damage,0,0.7223095961870261,0.001,Not significant
216,Segment 216.png,14.5597809,121.0099964,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
217,Segment 217.png,14.5600052,121.0104141,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
218,Segment 218.png,14.5602189,121.0108335,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
219,Segment 219.png,14.5602621,121.0109163,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
220,Segment 220.png,14.5603051,121.0110003,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
221,Segment 221.png,14.5603482,121.0110843,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
222,Segment 222.png,14.560422,121.0112502,0,0,0,0,0,no damage,0,-0.11306508301349613,0.001,Not significant
223,Segment 223.png,14.5659493,121.0144073,0,0,0,0,0,no damage,0,-0.18570635946571545,0.001,Not significant
224,Segment 224.png,14.5661156,121.0144937,0,0,0,0,0,no damage,0,-0.18570635946571545,0.001,Not significant
225,Segment 225.png,14.5642557,121.0162815,0,0,0,0,0,no damage,0,0.0685381081170522,0.001,Not significant
226,Segment 226.png,14.5641507,121.0162329,0,0,0,0,0,no damage,0,0.0685381081170522,0.001,Not significant
227,Segment 227.png,14.5640673,121.0162071,0,0,0,0,0,no damage,0,0.0685381081170522,0.001,Not significant
228,Segment 228.png,14.5639795,121.0161767,0,0,0,0,0,no damage,0,0.0685381081170522,0.001,Not significant
229,Segment 229.png,14.5628662,121.015727,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
230,Segment 230.png,14.5627783,121.0156943,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
231,Segment 231.png,14.5627213,121.0156549,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
232,Segment 232.png,14.5626523,121.0156451,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
233,Segment 233.png,14.5624795,121.0155801,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
234,Segment 234.png,14.5621846,121.0156989,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
235,Segment 235.png,14.5615333,121.0200036,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
236,Segment 236.png,14.5612252,121.0202706,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
237,Segment 237.png,14.5611056,121.0195359,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
238,Segment 238.png,14.5610737,121.0192539,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
239,Segment 239.png,14.5610526,121.0190426,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
240,Segment 240.png,14.561062,121.0186182,0,0,0,0,0,no damage,0,-0.5489127417268121,0.001,Not significant
